Code;Preferred Term;Synonyms;Definition;Neoplastic Status;
C4033;Clear Cell Renal Cell Carcinoma;Clear Cell Carcinoma of Kidney ;A malignant epithelial neoplasm of the kidney characterized by the presence of lipid-containing clear cells within a vascular network.  The tumor may metastasize to unusual sites and late metastasis is common.;Malignant;
C9362;Clitoral Carcinoma;Carcinoma of Clitoris ;A carcinoma that arises from the clitoris.;Malignant;
C6194;Collecting Duct Carcinoma;Carcinoma of Collecting Ducts of Bellini ;Also known as collecting duct carcinoma, this is a rare type of renal carcinoma. It arises from the collecting ducts of the renal medulla, and most authors suggest that this is an aggressive tumor.;Malignant;
C4349;Colon Adenocarcinoma;Adenocarcinoma of Colon ;An adenocarcinoma arising from the colon.  It is more frequently seen in populations with a Western type diet and in patients with a history of chronic inflammatory bowel disease.  Signs and symptoms include intestinal bleeding, anemia, and change in bowel habits.  According to the degree of cellular differentiation, colonic adenocarcinomas are divided into well, moderately, and poorly differentiated.  Histologic variants include mucinous adenocarcinoma, signet ring cell carcinoma, medullary carcinoma, serrated adenocarcinoma, cribriform comedo-type adenocarcinoma, and micropapillary adenocarcinoma.;Malignant;
C3864;Colon Adenoma;Adenoma of Colon ;An adenoma that arises from the colon.  The group of colonic adenomas includes tubular, villous, and tubulovillous adenomas, traditional serrated adenomas, sessile serrated adenomas/polyps, and familial adenomatous polyposis.;Undetermined;
C128171;Colon Adenoma with Severe Dysplasia;;An adenoma that arises from the colon.  It is characterized by the presence of severe epithelial dysplasia.;Undetermined;
C96479;Colon Adenomatous Polyp;Adenomatous Polyp of Colon ;A polypoid adenoma that arises from and protrudes into the lumen of the colon.  Epithelial dysplasia is always present.  According to the architectural pattern it is classified as tubular, tubulovillous, or villous.;Undetermined;
C5491;Colon Adenosquamous Carcinoma;Adenosquamous Carcinoma of Colon ;An unusual colon carcinoma characterized by the presence of glandular and squamous carcinomatous components.  The two carcinomatous components may be admixed within the tumor, or the two may appear separately in different areas.;Malignant;
C4910;Colon Carcinoma;Carcinoma of Colon ;A malignant epithelial neoplasm that arises from the colon and invades through the muscularis mucosa into the submucosa.  The vast majority are adenocarcinomas.;Malignant;
C45429;Colon Intramucosal Adenocarcinoma;Colon Intramucosal Neoplasia;An adenocarcinoma that arises from the colonic glandular epithelium and invades the lamina propria or muscularis mucosa but not the submucosa.;Malignant;
C60641;Colon Medullary Carcinoma;;A rare, invasive colon adenocarcinoma characterized by the presence of sheets of malignant epithelial cells with vesicular nuclei, prominent nucleoli, and abundant eosinophilic cytoplasm.  It usually has a favorable prognosis.;Malignant;
C9453;Colon Moderately Differentiated Adenocarcinoma;Grade 2 Colon Adenocarcinoma ;A colon adenocarcinoma characterized by the presence of a malignant cellular infiltrate with 50-95% glandular formation.;Malignant;
