Code;Preferred Term;Synonyms;Definition;Neoplastic Status;
C7419;Acanthoma;;A benign skin neoplasm composed of epithelial cells.;Benign;
C3173;Accelerated Phase Chronic Myeloid Leukemia, BCR-ABL1 Positive;Accelerated Phase CML ;A phase of chronic myeloid leukemia characterized by one or more of the following: 1) Myeloblasts accounting for 10-19% of the peripheral blood white cells or of the nucleated cells in the bone marrow, 2) peripheral blood basophils at least 20%, 3) persistent thrombocytopenia that is unrelated to therapy, 4) persistent thrombocytosis despite adequate therapy, 5) increasing white blood cell count and increasing spleen size unresponsive to therapy, and/or evidence of clonal evolution. (WHO, 2001);Malignant;
C45929;Acidophil Stem Cell Pituitary Neuroendocrine Tumor;Acidophil Stem Cell Adenoma ;An infrequent pituitary neuroendocrine tumor composed of cells showing immunoreactivity for prolactin and less often growth hormone. Electron microscopic studies reveal giant mitochondria, a finding not present in any other type of pituitary gland adenomas.;Undetermined;
C3768;Acinar Cell Carcinoma;Acinar Adenocarcinoma ;A malignant glandular epithelial neoplasm consisting of secretory cells forming acinar patterns. Representative examples include the acinar cell carcinoma of the pancreas and the acinar adenocarcinoma of the prostate gland.;Malignant;
C27018;Acquired Hemangioma;;A hemangioma that is not present at birth but develops later in life.;Benign;
C3148;Actinic Keratosis;Actinic (Solar) Keratosis ;A precancerous lesion of the skin composed of atypical keratinocytes. It is characterized by the presence of thick, scaly patches of skin. Several histologic variants have been described, including atrophic, acantholytic, hypertrophic, proliferative, lichenoid, bowenoid, and pigmented variants.;Precancerous;
C3164;Acute Basophilic Leukemia;Basophilic Leukemia ;A rare acute myeloid leukemia in which the immature cells differentiate towards basophils.;Malignant;
C6923;Acute Bilineal Leukemia;;An acute leukemia of ambiguous lineage in which there is a dual population of blasts with each population expressing markers of a distinct lineage (myeloid and lymphoid or B-and T-lymphocyte).  (WHO, 2001);Malignant;
C4673;Acute Biphenotypic Leukemia;;An acute leukemia of ambiguous lineage characterized by blasts which coexpress myeloid and T or B lineage antigens or concurrent B and T lineage antigens.  (WHO, 2001);Malignant;
C8923;Acute Erythroid Leukemia;Acute Erythroblastic Leukemia ;An acute myeloid leukemia characterized by a predominant immature erythroid population.  There are two subtypes recognized: erythroleukemia and pure erythroid leukemia. (WHO, 2001);Malignant;
C7464;Acute Leukemia of Ambiguous Lineage;Acute Leukemia of Indeterminate Lineage;An acute leukemia in which the blasts lack sufficient evidence to classify as myeloid or lymphoid or they have morphologic and/or immunophenotypic characteristics of both myeloid and lymphoid cells. (WHO, 2001);Malignant;
C3167;Acute Lymphoblastic Leukemia;Lymphoblastic Leukemia ;Leukemia with an acute onset, characterized by the presence of lymphoblasts in the bone marrow and the peripheral blood. It includes the acute B lymphoblastic leukemia and acute T lymphoblastic leukemia.;Malignant;
C121973;Acute Lymphoblastic Leukemia by Gene Expression Profile;ALL Gene Expression Cluster Subtype ;Gene expression-based patient cluster groups in acute lymphoblastic leukemia.;Malignant;
C121978;Acute Lymphoblastic Leukemia by ROSE Cluster;ALL Gene Expression Cluster ;Unique gene expression-based patient cluster groups in high-risk B-precursor acute lymphoblastic leukemia determined by Recognition of Outliers by Sampling Ends (ROSE).;Malignant;
C3170;Acute Megakaryoblastic Leukemia;Acute M7 Myeloid Leukemia ;An acute myeloid leukemia in which at least 50% of the blasts are of megakaryocytic lineage. (WHO, 2001);Malignant;
C7318;Acute Monoblastic and Monocytic Leukemia;Acute Monoblastic Leukemia and Acute Monocytic Leukemia ;Acute myeloid leukemia in which 80% or more of the leukemic cells are of monocytic lineage, including monoblasts, promonocytes, and monocytes. Bleeding disorders are common presenting features.;Malignant;
C7171;Acute Monoblastic Leukemia;Acute Monoblastic Leukemia (FAB M5a);An acute myeloid leukemia in which the monoblasts represent 80% or more of the total cellular population.  (WHO, 2001);Malignant;
C4861;Acute Monocytic Leukemia;Acute Monocytic Leukemia (FAB M5b) ;An acute myeloid leukemia in which the majority of monocytic cells are promonocytes.  (WHO, 2001);Malignant;
C3171;Acute Myeloid Leukemia;AML - Acute Myeloid Leukemia ;"A clonal expansion of myeloid blasts in the bone marrow, blood or other tissues. The classification of acute myeloid leukemias (AMLs) encompasses four major categories: 1) AML with recurrent genetic abnormalities; 2) AML with multilineage dysplasia; 3) Therapy-related AML; 4) AML not otherwise specified. The required bone marrow or peripheral blood blast percentage for the diagnosis of AML is 20% (WHO classification).";Malignant;
C82427;"Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.1); RBM15-MKL1";"Acute Myeloid Leukemia (Megakaryoblastic) with t(1;22)(p13.3;q13.1); RBM15- MRTFA ";"An acute myeloid leukemia associated with t(1;22)(p13.3;q13.1) resulting in the expression of RBM15-MKL1 fusion protein. It affects infants and children and usually shows megakaryocytic maturation.";Malignant;
C4037;Acute Myeloid Leukemia Arising from Previous Myelodysplastic Syndrome;AML/MDS ;An acute myeloid leukemia developing in patients with a prior history of myelodysplastic syndrome.;Malignant;
C6924;Acute Myeloid Leukemia with a Variant KMT2A Rearrangement;AML with Other KMT2A Rearrangements ;A term referring to acute myeloid leukemias with rearrangement of the KMT2A gene that results in translocations with various genes other than the MLLT3 (AF9) gene.;Malignant;
C82433;Acute Myeloid Leukemia with CEBPA Mutation;AML with Mutated CEBPA ;An acute myeloid leukemia with non-germline mutations of the CEBPA gene.;Malignant;
C9287;"Acute Myeloid Leukemia with inv(16)(p13.1q22) or t(16;16)(p13.1;q22); CBFB-MYH11";Acute Myeloid Leukemia with Abnormal Marrow Eosinophils ;An acute myeloid leukemia with monocytic and granulocytic differentiation and the presence of a characteristically abnormal eosinophil component in the bone marrow.  This type of acute myeloid leukemia has a favorable prognosis.  (WHO, 2001);Malignant;
C9018;"Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11";"Acute Myeloid Leukemia with inv(16)(p13.1q22); CBFB-MYH11 Fusion ";Acute myeloid leukemia characterized by the presence of abnormal bone marrow eosinophils and the characteristic cytogenetic abnormality inv(16)(p13.1q22) which results in the expression of the fusion protein CBFB-MYH11.;Malignant;
C122716;"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2); GATA2, MECOM";"Acute Myeloid Leukemia with inv(3) (q21.3;q26.2); GATA2, EVI1 ";An acute myeloid leukemia associated with inv(3)(q21.3q26.2) resulting in the reposition of a distal GATA2 enhancer to activate MECOM expression. It may present de novo or follow a myelodysplastic syndrome. The clinical course is aggressive.;Malignant;
C82426;"Acute Myeloid Leukemia with inv(3)(q21.3;q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM";AML with MECOM Rearrangements ;"An acute myeloid leukemia associated with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2) resulting in the reposition of a distal GATA2 enhancer to activate MECOM expression. It may present de novo or follow a myelodysplastic syndrome. The clinical course is aggressive.";Malignant;
C3250;Acute Myeloid Leukemia with Maturation;AML with Maturation ;An acute myeloid leukemia (AML) characterized by blasts with evidence of maturation to more mature neutrophils. (WHO, 2001);Malignant;
C8460;Acute Myeloid Leukemia with Minimal Differentiation;AML with Minimal Differentiation ;An acute myeloid leukemia (AML) in which the blasts do not show evidence of myeloid differentiation by morphology and conventional cytochemistry. (WHO, 2001);Malignant;
C9289;Acute Myeloid Leukemia with Multilineage Dysplasia;AML with Multilineage Dysplasia ;An acute myeloid leukemia arising de novo and not as a result of treatment. It is characterized by the presence of myelodysplastic features in at least 50% of the cells of at least two hematopoietic cell lines. Patients often present with severe cytopenia.;Malignant;
C82430;Acute Myeloid Leukemia with Myelodysplasia-Related Gene Mutations;AML MDS-R Gene Mutations ;A group of acute myeloid leukemias characterized by the presence of gene mutations that are associated with myelodysplasia.;Malignant;
C82431;Acute Myeloid Leukemia with NPM1 Mutation;AML with Mutated NPM1 ;An acute myeloid leukemia with mutation of the nucleophosmin gene. It is usually associated with normal karyotype and frequently has myelomonocytic or monocytic features. It usually responds to induction therapy.;Malignant;
C7175;Acute Myeloid Leukemia with Recurrent Genetic Abnormalities;Acute Myeloid Leukemia with Balanced Translocations/Inversions ;A group of acute myeloid leukemias characterized by recurrent genetic abnormalities, mainly balanced translocations.  (WHO, 2001);Malignant;
C9019;"Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11";"Acute Myeloid Leukemia with t(16;16)(p13.1;q22); CBFB-MYH11 Fusion ";"Acute myeloid leukemia characterized by the presence of abnormal bone marrow eosinophils and the characteristic cytogenetic abnormality t(16;16)(p13.1;q22) which results in the expression of the fusion protein CBFB-MYH11.";Malignant;
C122717;"Acute Myeloid Leukemia with t(3;3) (q21.3;q26.2); GATA2, MECOM";"Acute Myeloid Leukemia with t(3;3) (q21.3;q26.2); GATA2, EVI1 ";"An acute myeloid leukemia associated with t(3;3)(q21.3;q26.2) resulting in the reposition of a distal GATA2 enhancer to activate MECOM expression. It may present de novo or follow a myelodysplastic syndrome. The clinical course is aggressive.";Malignant;
C82423;"Acute Myeloid Leukemia with t(6;9)(p22.3;q34.1); DEK-NUP214";"Acute Myeloid Leukemia with t(6;9) (p22.3;q34.1); DEK-NUP214 Fusion ";"An acute myeloid leukemia associated with t(6;9)(p22.3;q34.1) resulting in DEK-NUP214(CAN) fusion protein expression. It is often associated with multilineage dysplasia and basophilia. It affects both children and adults and it usually has an unfavorable clinical outcome.";Malignant;
C122690;"Acute Myeloid Leukemia with t(7;12)(q36;p13); HLXB9-ETV6";"Acute Myeloid Leukemia with t(7;12)(q36;p13); MNX1-ETV6 ";"An acute myeloid leukemia in infancy characterized by t(7;12)(q36;p13) and fusion of the homeobox gene HLXB9 (MNX1) with the ETV6 gene.";Malignant;
C9288;"Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1";"Acute Myeloid Leukemia with t(8;21)(q22; q22.1); RUNX1-RUNX1T1 Fusion ";"An acute myeloid leukemia with t(8;21)(q22; q22.1) giving rise to RUNX1/RUNX1T1 fusion transcript and showing maturation in the neutrophil lineage. The bone marrow and the peripheral blood show large myeloblasts with abundant basophilic cytoplasm, often containing azurophilic granules. This type of AML is associated with good response to chemotherapy and high complete remission rate.";Malignant;
C82403;"Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3-KMT2A";"Acute Myeloid Leukemia with t(9;11)(p21.3;q23.3); MLLT3 (AF9)-KMT2A ";"An acute myeloid leukemia associated with t(9;11)(p21.3;q23.3) and MLLT3-KMT2A fusion protein expression. Morphologically it usually has monocytic features. It may present at any age but it is more commonly seen in children. Patients may present with disseminated intravascular coagulation.";Malignant;
C3249;Acute Myeloid Leukemia without Maturation;AML without Maturation ;An acute myeloid leukemia (AML) characterized by blasts without evidence of maturation to more mature neutrophils. (WHO, 2001);Malignant;
C7600;Acute Myeloid Leukemia, Myelodysplasia-Related;AML with Myelodysplasia-Related Changes ;An acute myeloid leukemia with at least 20% blasts in the bone marrow or blood, and either a previous history of myelodysplastic syndrome, multilineage dysplasia or myelodysplastic syndrome-related cytogenetic abnormalities.  There is no history of prior cytotoxic therapy for an unrelated disorder, and there is absence of the molecular abnormalities that are present in acute myeloid leukemia with recurrent genetic abnormalities.;Malignant;
C27753;Acute Myeloid Leukemia, Not Otherwise Specified;Acute Myeloid Leukemia NOS ;Acute myeloid leukemias that do not fulfill the criteria for inclusion in the group of acute myeloid leukemias which have recurrent genetic abnormalities or myelodysplastic changes, or are therapy-related.  This category includes entities classified according to the French-American-British classification scheme.;Malignant;
C7463;Acute Myelomonocytic Leukemia;Acute M4 Myeloid Leukemia ;An acute leukemia characterized by the proliferation of both neutrophil and monocyte precursors.  (WHO, 2001);Malignant;
C9020;Acute Myelomonocytic Leukemia with Abnormal Eosinophils;;"Acute myelomonocytic leukemia characterized by the presence of abnormal bone marrow eosinophils. It is associated with inv(16)(p13.1;q22) or t(16;16)(p13.1;q22). It has a favorable prognosis.";Malignant;
C42779;Acute Myelomonocytic Leukemia without Abnormal Eosinophils;;Acute myelomonocytic leukemia without an abnormal eosinophilic component in the bone marrow.;Malignant;
C4344;Acute Panmyelosis with Myelofibrosis;Acute (Malignant) Myelofibrosis ;An acute myeloid leukemia characterized by bone marrow fibrosis without preexisting primary myelofibrosis.;Malignant;
C208352;Acute Promyelocytic Leukemia;;"An acute myeloid leukemia characterized by the predominance of abnormal promyelocytes and translocations involving the retinoic acid receptor-? (RARA) gene. Over 95% of cases are characterized by the presence of the reciprocal balanced translocation t(15;17)(q24.1;q21.2) that results in the fusion of the promyelocytic leukemia (PML) gene and RARA gene. The remainder of the cases show variant RARA gene translocations with other genes including NUMA1, ZBTB16, STAT5B, and NPM1.";Malignant;
C36055;Acute Promyelocytic Leukemia with a Variant RARA Rearrangement;Acute Myeloid Leukemia with a Variant RARA Rearrangement ;A term that refers to acute promyelocytic leukemias that show variant translocations involving the RARA gene. The variant fusion partners include NUMA1, ZBTB16, STAT5B, and NPM1.;Malignant;
C38377;Acute Promyelocytic Leukemia with STAT5B-RARA;Acute Myeloid Leukemia with STAT5B-RARA ;Acute promyelocytic leukemia with a variant RARA rearrangement and expression of STAT5B-RARA fusion protein.;Malignant;
C36058;"Acute Promyelocytic Leukemia with t(11;17)(q13;q21); NUMA1-RARA";"Acute Myeloid Leukemia with t(11;17)(q13;q21) ";"Acute promyelocytic leukemia with a variant RARA rearrangement associated with t(11;17)(q13;q21) that results in the expression of NUMA1-RARA fusion protein.";Malignant;
C36056;"Acute Promyelocytic Leukemia with t(11;17)(q23;q21); ZBTB16-RARA";"Acute Myeloid Leukemia with t(11;17)(q23;q21) ";"Acute promyelocytic leukemia with a variant RARA rearrangement associated with t(11;17)(q23;q21) that results in the expression of ZBTB16-RARA fusion protein. It lacks differentiation response to retinoids treatment.";Malignant;
C36057;"Acute Promyelocytic Leukemia with t(5;17)(q35;q21); NPM1-RARA";"Acute Myeloid Leukemia with t(5;17)(q35;q21) ";"Acute promyelocytic leukemia with a variant RARA rearrangement associated with t(5;17)(q35;q21) that results in the expression of NPM1-RARA fusion protein.";Malignant;
C9298;Acute Undifferentiated Leukemia;Leukemia Stem Cell ;A rare acute leukemia of ambiguous lineage in which the blasts do not express markers specific to myeloid or lymphoid lineage.;Malignant;
C7644;Adamantinoma;Adamantinoma of Long Bones ;A low grade malignant neoplasm arising from the long bones. The tibia is the most frequently affected bone site. Patients present with swelling which may or may not be associated with pain. Morphologically, it is characterized by a biphasic pattern consisting of an epithelial and an osteofibrous component. The vast majority of cases recur if they are not treated with radical surgery. In a minority of cases the tumor may metastasize to other anatomic sites including lymph nodes, lungs, liver, brain, and skeleton.;Malignant;
C2852;Adenocarcinoma;;A common cancer characterized by the presence of malignant glandular cells.  Morphologically, adenocarcinomas are classified according to the growth pattern (e.g., papillary, alveolar) or according to the secreting product (e.g., mucinous, serous).  Representative examples of adenocarcinoma are ductal and lobular breast carcinoma, lung adenocarcinoma, renal cell carcinoma, hepatocellular carcinoma (hepatoma), colon adenocarcinoma, and prostate adenocarcinoma.;Malignant;
C4123;Adenocarcinoma In Situ;;A lesion in which the normally situated glands are partially or completely replaced by atypical cells with malignant characteristics.;Malignant;
C2970;Adenoid Cystic Carcinoma;Adenocystic Carcinoma ;"A malignant tumor arising from the epithelial cells.  Microscopically, the neoplastic epithelial cells form cylindrical spatial configurations (cribriform or classic type of adenoid cystic carcinoma), cordlike structures (tubular type of adenoid cystic carcinoma), or solid structures (basaloid variant of adenoid cystic carcinoma).  Adenoid cystic carcinomas mostly occur in the salivary glands.  Other primary sites of involvement include the lacrimal gland, the larynx, and the lungs.  Adenoid cystic carcinomas spread along nerve sheaths, resulting in severe pain, and they tend to recur.  Lymph node metastases are unusual; hematogenous tumor spread is characteristic.";Malignant;
C27413;Adenoma of the Colon with Intramucosal Adenocarcinoma;Adenoma of Colon with Intramucosal Adenocarcinoma ;An intramucosal malignant glandular epithelial infiltrate in a colonic adenoma.  There is no evidence of submucosal invasion.;Malignant;
C3762;Adenomatoid Tumor;Benign Mesothelial Neoplasm ;A benign, well-circumscribed neoplasm arising from mesothelial cells. It is characterized by the formation of glandular and tubular patterns. It usually involves the paratesticular region, uterus, and fallopian tube. Rare cases involving the pleura, peritoneum, adrenal gland, and liver have also been reported.;Benign;
C3726;Adenomyoma;;A benign neoplasm characterized by the presence of a glandular and a mesenchymal (fibromyomatous) component. It occurs in the uterine corpus, cervix, and uterine ligaments. A variant of adenomyoma associated with glandular architectural complexity is called atypical polypoid adenomyoma. Simple polypectomy is usually curative. Atypical polypoid adenomyoma may recur following polypectomy.;Benign;
C9474;Adenosarcoma;Mullerian Adenosarcoma ;A low grade malignant neoplasm characterized by the presence of a benign epithelial component (tubular and cleft-like glands) and a low grade sarcomatous component that contains varying amounts of fibrous and smooth muscle tissues. In a minority of cases, the sarcomatous component contains heterologous elements including striated muscle, cartilage, and fat. It occurs in the uterine corpus, ovary, fallopian tube, cervix, and vagina. It may recur and in a minority of cases may metastasize to distant anatomic sites.;Malignant;
C3727;Adenosquamous Carcinoma;Mixed Adenocarcinoma and Epidermoid Carcinoma ;An invasive carcinoma composed of malignant glandular cells and malignant squamous cells.;Malignant;
C9003;Adrenal Cortical Adenoma;Adenoma of Adrenal Cortex ;A benign neoplasm that can arise from any of the adrenal cortical layers.  It can be associated with the overproduction of glucocorticoids (Cushing's syndrome), androgenic or estrogenic steroids (adrenogenital syndrome), or mineralocorticoids (Conn's syndrome). (Sternberg Diagnostic Surgical Pathology, 3rd ed.);Benign;
C9325;Adrenal Cortical Carcinoma;Adrenal Cortex Adenocarcinoma ;A rare, usually large (greater than 5cm), malignant epithelial tumor arising from the adrenal cortical cells.  Symptoms are usually related to the excessive production of hormones, and include Cushing's syndrome and virilism in women.  Common sites of metastasis include liver, lung, bone, and retroperitoneal lymph nodes.  Advanced radiologic procedures have enabled the detection of small tumors, resulting in the improvement of the 5-year survival.;Malignant;
C68635;Adrenal Cortical Low Grade Carcinoma;Adrenal Cortex Low Grade Carcinoma ;A carcinoma that arises from the adrenal cortex and is characterized by the presence of twenty or less mitoses per ten square millimeters.;Malignant;
C68644;Adrenal Cortical Sarcomatoid Carcinoma;Adrenal Cortex Anaplastic Carcinoma ;A carcinoma that arises from the adrenal cortex and is characterized by the partial or complete loss of adrenal cortical differentiation.;Malignant;
C3326;Adrenal Gland Pheochromocytoma;Adrenal Gland Chromaffin Paraganglioma ;A neuroendocrine neoplasm of the sympathetic nervous system that arises from the chromaffin cells of the adrenal medulla and secretes catecholamines. Clinical presentation includes headaches, palpitations, chest and abdominal pain, hypertension, fever, and tremor.  Microscopically, a characteristic nesting (zellballen) growth pattern is usually seen.  Other growth patterns including trabecular pattern may also be present.;Undetermined;
C27922;Aflatoxins-Related Hepatocellular Carcinoma;;A hepatocellular carcinoma that develops following exposure to aflatoxin.;Malignant;
C8647;Aggressive NK-Cell Leukemia;Aggressive NK-Cell Leukemia/Lymphoma ;"A rare, highly aggressive, Epstein-Barr virus-associated leukemia, also known as aggressive NK-cell leukemia/lymphoma; it may represent the leukemic counterpart of nasal type extranodal NK/T-cell lymphomas. It affects primarily teenagers and young adults. It is characterized by the systemic proliferation of NK cells in the peripheral blood, bone marrow, liver, and spleen.";Malignant;
C66796;Aggressive Osteoblastoma;;An osteoblastoma characterized by the presence of prominent epithelioid osteoblasts and recurrences.;Undetermined;
C9285;Aggressive Systemic Mastocytosis;Advanced Systemic Mastocytosis;An aggressive and progressive mast cell neoplasm characterized by systemic infiltration of internal organs by aggregates of neoplastic mast cells. There is no evidence of mast cell leukemia or clonal hematologic malignancy. Clinical symptoms include hepatomegaly, splenomegaly, portal hypertension, malabsorption syndrome, and pathologic fractures.;Malignant;
C27924;Alcohol-Related Hepatocellular Carcinoma;;A hepatocellular carcinoma that develops following alcohol-induced injury of the liver parenchyma.;Malignant;
C7225;ALK-Positive Large B-Cell Lymphoma;Diffuse Large B-Cell Lymphoma with Expression of Full-Length ALK ;"A usually aggressive large B-cell lymphoma characterized by the presence of monomorphic immunoblast-like neoplastic B-lymphocytes in a sinusoidal growth pattern.  The neoplastic B-lymphocytes express the ALK kinase but they lack the 2;5 translocation.";Malignant;
C27754;Alkylating Agent-Related Acute Myeloid Leukemia;Alkylating Agent Related Acute Myeloid Leukemia;Acute myeloid leukemia occurring as late complication of prior therapy with alkylating agents.;Malignant;
C7643;Alkylating Agent-Related Myelodysplastic Syndrome;Alkylating Agent Related Myelodysplastic Syndrome;A disorder seen following cancer chemotherapy. It is the most common cause of therapy-related myelodysplastic syndromes. It typically manifests several years after initiation of single or multi-agent chemotherapy with alkylators. Mutagenic potential of alkylating agents is believed to be age and cumulative dose-dependent. Deletions in chromosomes 5 and 7 are associated with susceptibility to this disorder. Clinical signs may include fatigue, dyspnea, bruising and frequent infections. Clinical course may progress to bone marrow failure or acute myeloid leukemia that is refractory to treatment. Prognosis is dismal with survivability usually less than one year.;Malignant;
C3132;Alpha Heavy Chain Disease;Immunoproliferative Small Intestinal Disease ;A clonal disorder, also known as immunoproliferative small intestinal disease or Mediterranean lymphoma, characterized by the secretion of a defective alpha heavy chain. It predominantly affects young people in the Mediterranean region. It involves the small intestine, and patients usually present with malabsorption syndrome, abdominal pain, weight loss, and fever. There is extensive villous atrophy of the small intestinal mucosa, which is heavily infiltrated by small lymphocytes and plasma cells. The small intestinal morphologic changes are consistent with a mucosa-associated lymphoid tissue lymphoma (MALT lymphoma).;Malignant;
C4140;Alveolar Adenoma;Adenoma of Alveoli ;A benign, well circumscribed lung neoplasm morphologically characterized by the presence of cystic spaces resembling alveoli, lined by a simple cuboidal epithelium. The cystic spaces are surrounded by a spindle cell stroma which may show myxoid changes. It is a solitary, usually peripheral lung lesion. Patients are usually asymptomatic and its discovery is an incidental finding during chest X-ray examination. Surgical excision is curative.;Benign;
C3749;Alveolar Rhabdomyosarcoma;Monomorphous Round Cell Rhabdomyosarcoma;A rapidly growing malignant mesenchymal neoplasm. It is characterized by the presence of round cells with myoblastic differentiation and a fibrovascular stroma resembling an alveolar growth pattern. The tumor usually presents in the extremities.;Malignant;
C3802;Amelanotic Melanoma;;A melanoma characterized by the complete absence of melanin pigment in the melanoma cells. It occurs more frequently on the face and it is often associated with desmoplastic reaction.;Malignant;
C6650;Ampulla of Vater Adenocarcinoma;Adenocarcinoma of Ampulla of Vater ;An invasive carcinoma with glandular differentiation arising from the ampulla of Vater.  Signs and symptoms include jaundice, abdominal pain, anorexia, nausea, vomiting, and weight loss.;Malignant;
C6657;Ampulla of Vater Adenoma, Intestinal-Type;Ampulla of Vater Adenoma ;An adenoma that arises from the ampulla of Vater and resembles the adenomas of the small and large intestines.  Morphologically, according to the growth pattern, it may be classified as tubular, tubulovillous, or villous.  Dysplasia is always present.  Jaundice may be an early symptom.;Undetermined;
C3908;Ampulla of Vater Carcinoma;Ampulla of Vater Cancer ;A carcinoma arising from the ampulla of Vater.  The vast majority of cases are adenocarcinomas.  Signs and symptoms include jaundice, abdominal pain, anorexia, nausea, vomiting, and weight loss.;Malignant;
C5600;Anal Adenocarcinoma;Adenocarcinoma of Anus ;An adenocarcinoma arising in the anal canal epithelium, including the mucosal surface, the anal glands, and the lining of fistulous tracts.  The prognosis is related to the stage at diagnosis.;Malignant;
C7471;Anal Canal Adenocarcinoma;Adenocarcinoma Arising in Anal Mucosa ;An anal adenocarcinoma arising from the anal canal mucosa.  Morphologically, it resembles the adenocarcinoma which arises from the colorectal glandular epithelium.  Symptoms include anal pruritus, discomfort when sitting, pain, change in bowel habit, and bleeding.;Malignant;
C7489;Anal Canal Carcinoma;Anal Canal Cancer ;A squamous cell carcinoma or less frequently an adenocarcinoma, often associated with human papillomavirus (HPV) infection. Homosexual men are at particular risk. The most important prognostic factors are tumor stage and nodal status.;Malignant;
C7469;Anal Canal Squamous Cell Carcinoma;;A squamous cell carcinoma arising from the mucosa of the anal canal.;Malignant;
C9291;Anal Carcinoma;Anal Cancer ;A carcinoma that arises from the anal canal or perianal area (anal margin). Histologic types include squamous cell carcinoma and adenocarcinoma.;Malignant;
C7474;Anal Extramucosal (Perianal) Adenocarcinoma;Extramucosal (Perianal) Adenocarcinoma of Anus ;An anal adenocarcinoma arising from the lining of an anorectal fistulous tract or the anal glands.  The overlying anal mucosa does not show evidence of neoplastic changes.  It usually presents as a submucosal tumor.;Malignant;
C7472;Anal Margin Carcinoma;Carcinoma of Anal Margin ;A carcinoma arising in the anal margin or perianal skin (below the anal verge and involving the perianal hair-bearing skin).  It includes basal cell and squamous cell carcinoma. Anal margin carcinoma is staged as a skin carcinoma, separately from anal canal carcinoma.;Malignant;
C6925;Anal Margin Squamous Cell Carcinoma;Perianal Skin Squamous Cell Carcinoma ;A squamous cell carcinoma arising from the perianal skin.;Malignant;
C5598;Anal Paget Disease;Anal Paget's Disease ;A slowly spreading, erythematous eczematoid plaque in the anal region.  Histologically, the basal part or whole thickness of the squamous epithelium is infiltrated by large cells with abundant pale cytoplasm and large nuclei.  Half of the cases are associated with an internal malignancy, most often a colorectal adenocarcinoma.  The other half of the cases, have a high local recurrence rate and they may become invasive (WHO).;Malignant;
C9161;Anal Squamous Cell Carcinoma;Epidermoid Anal Carcinoma ;A squamous cell carcinoma (SCC) arising from the anal canal or the anal margin (perianal skin). Human papillomavirus is detected in the majority of cases. Homosexual HIV-positive men have an increased risk of developing anal squamous cell carcinoma in comparison to the general male population. Symptoms include anal pruritus, discomfort when sitting, pain, change in bowel habit, and bleeding. The prognosis is generally better for anal margin SCC than for anal canal SCC.;Malignant;
C4051;Anaplastic (Malignant) Meningioma;Anaplastic Meningioma ;A WHO grade III meningioma characterized by the presence of malignant morphologic features, including malignant cytology and a very high mitotic index (20 or more mitoses per ten high power fields).;Malignant;
C84347;Anaplastic Astroblastoma, MN1-Altered;Anaplastic Astroblastoma;An astroblastoma, MN1-altered, characterized by the presence of high mitotic activity, cytologic atypia, and architectural distortion.;Malignant;
C9477;Anaplastic Astrocytoma;Grade 3 Astrocytic Neoplasm ;A diffusely infiltrating, WHO grade 3 astrocytoma with focal or dispersed anaplasia, and a marked proliferative potential. It may arise from a low-grade astrocytoma, but it can also be diagnosed at first biopsy, without indication of a less malignant precursor lesion. It has an intrinsic tendency for malignant progression to glioblastoma. (WHO);Malignant;
C129292;Anaplastic Astrocytoma, Not Otherwise Specified;Anaplastic Astrocytoma, NOS;A central nervous system tumor with morphological features of anaplastic astrocytoma in which there is insufficient information on the IDH genes status.;Malignant;
C4049;Anaplastic Ependymoma;Anaplastic Ependymal Neoplasm ;A WHO grade 3 malignant glioma of ependymal origin with accelerated growth and an unfavorable clinical outcome, particularly in children. It is characterized by high mitotic activity, often accompanied by microvascular proliferation and pseudo-palisading necrosis. (Adapted from WHO);Malignant;
C6952;Anaplastic Kidney Wilms Tumor;Anaplastic Renal Wilm's Tumor ;Wilms tumor of the kidney characterized by the presence of nuclear anaplasia.  Anaplasia is defined by the presence of all of the following: multipolar polyploid mitotic figures, marked nuclear enlargement, and hyperchromasia.  When anaplasia is diffuse, it is associated with an unfavorable clinical outcome.;Malignant;
C3720;Anaplastic Large Cell Lymphoma;CD30 Positive Anaplastic Large Cell Lymphoma;"A peripheral (mature) T-cell lymphoma, consisting of usually large anaplastic, CD30 positive cells. The majority of cases are positive for the anaplastic large cell lymphoma (ALK) protein. The most frequently seen genetic alteration is a t(2;5) translocation. Majority of patients present with advanced disease. The most important prognostic indicator is ALK positivity, which has been associated with a favorable prognosis. (WHO, 2001)";Malignant;
C37194;Anaplastic Large Cell Lymphoma, ALK-Negative;ALK-Negative Anaplastic Large Cell Lymphoma;A T-cell peripheral lymphoma morphologically indistinguishable from anaplastic large cell lymphoma, ALK-positive.  It is characterized by the absence of the translocation involving the ALK gene and lacks expression of ALK fusion protein.;Malignant;
